"Timestamp","interaction source","interaction type","research need","successful interaction?","outcome","Number of people (if more than 1)","affiliation","Institutional affiliation if not UCB","Number of films/documents/items provided","interaction staff time","Date if not today"
"7/27/2020 12:35:39","email","Screening reservation request","NCET materials",,"Noted closure",,"UCB student",,5,"10-30 min","7/17/2020"
"7/27/2020 12:36:42","email","Screening reservation request","NCET titles and general info on collection",,"Noted closure, gave general access info",,"Non-UCB academic","Film Dept, UC Irvine",,"10-30 min","7/1/2020"
"7/27/2020 12:37:18","email","General info (hours/location/etc)","Info on closure/reopening",,,,"Non-UCB academic","Berkeley CC",,"10-30 min","7/6/2020"
"7/27/2020 12:39:21","email","Books/periodicals","Access to Cine Cubano?",,"Provided closure/reopening info",,"Non-UCB student","PHD student, Univ of Chicago",,"10-30 min","6/10/2020"
"7/27/2020 12:40:15","email","Reference research","Ukrainian film information",,,,"Company / Archive / Museum / Etc","Dovzhenko Film Center, Ukraine",,"10-30 min","6/11/2020"
"7/27/2020 12:50:27","email","Reference research","Black history films in Oakland",,"Multiple discussed",,"Non-UCB academic","SFSU",,"over 30 min","7/2/2020"
"7/27/2020 13:00:40","email","Screening reservation request","Naruse Japanese films",,,,"UCB student",,,"10-30 min","7/3/2020"
"7/27/2020 13:01:33","email","Screening reservation request","Soviet Georgian works",,"noted closure",,"BAMPFA member",,4,"10-30 min","7/6/2020"
"7/28/2020 12:43:43","email","Duplication","wants to put poster for 79 springtimes on bampfa.org blog post",,"suggested it looks ok from a fair use standpoint",,"BAMPFA staff",,,"5-10 min","7/27/2020"
"8/11/2020 10:19:18","email","Reference research","Contact info on filmmakers of Self-Health, a film in our collection",,"Provided leads to 3 of 4 filmmakers",,"Filmmaker/Artist","Documentary filmmaker production team",,"over 30 min",
"8/11/2020 10:20:40","email","Reference research","Information on James Baldwin films etc",,"Multiple resources/avenues explained",,"Non-UCB academic","Evergreen College, OR professor",6,"over 30 min",
"8/11/2020 10:21:21","email","General info (hours/location/etc)","covid info/hours/etc",,,,"Local Resident",,,"less than 5 min","8/10/2020"
"8/11/2020 10:21:59","email","General info (hours/location/etc)","covid info/hours/etc",,,,"Writer/Independent Scholar","Writer based in LA",,"less than 5 min","8/6/2020"
"8/11/2020 10:23:01","email","Reference research","Telluride catalogs, history of Albert Johnson, general info on festival holdings",,,,"Writer/Independent Scholar","Former TIFF programmer, retired, now working on book on festivals",9,"over 30 min","8/7/2020"
"8/11/2020 10:23:27","email","General info (hours/location/etc)","covid info/hours/etc",,,,"Local Resident",,,"less than 5 min","8/5/2020"
"8/11/2020 10:23:52","email","General info (hours/location/etc)","covid info/hours/etc",,,,"UCB student",,,"less than 5 min","8/7/2020"
"8/11/2020 10:25:06","email","Archival papers","Allan Francovich files",,,,"Writer/Independent Scholar","Independent, working on book on political filmmaking of 80s",,"over 30 min","8/3/2020"
"8/11/2020 10:26:09","email","Curious/browsing","How to access collection during COVID closure",,"Pointed to online resources/holdings, etc",,"Non-UCB academic","Oakland Tech HS teacher",,"over 30 min","7/30/2020"
"8/11/2020 10:26:53","email","Reference research","How to access collection during COVID closure",,"pointed to online resources/collections, etc",,"UCB student",,,"over 30 min","7/27/2020"
"8/11/2020 10:27:31","email","Reference research","How to access collection during COVID closure",,"pointed to online collections/resources",,"Non-UCB student","SFSU",,"over 30 min","8/6/2020"
"8/11/2020 10:55:36","email","Reference research","How to access collection during COVID closure, esp. Latinx titles",,"pointed out online collections/resources, etc",,"Non-UCB student","PHD student, UCLA",,"over 30 min","8/5/2020"
"8/11/2020 11:36:34","email","Reference research","Chinese cinema of the 50s",,"offered insight into online resources/collections",,"Non-UCB academic","Univ of the Philippines",,"over 30 min","7/28/2020"
"8/11/2020 13:49:28","email","Reference research","Contact info for filmmakers Judy Irola, Allie Light",,"found, sealed, delivered",,"Filmmaker/Artist","Production company, LA",2,"over 30 min","8/3/2020"
"8/11/2020 13:50:38","email","Screening reservation request","theresa cha titles",,"delayed",,"Filmmaker/Artist","performance artist, chicago",,"10-30 min","7/22/2020"
"8/11/2020 13:51:44","email","Screening reservation request","theresa cha titles",,"delayed",,"Non-UCB academic","PHD student, Montclair Univ.",,"5-10 min","8/5/2020"
"8/11/2020 13:52:52","email","Books/periodicals","Super-8 magazine and other magz on super-8 filmmaking",,"we have them, delayed access til reopening",,"Non-UCB academic","SFSU professor",,"10-30 min","7/24/2020"
"8/11/2020 13:53:38","email","Reference research","films on ecology",,"various titles given",,"UCB student",,,"10-30 min","8/3/2020"
"8/11/2020 20:23:51","email","Donation","wants to donate (or sell?) ruth weiss material",,"told her we don't have a budget but can make a deposit arrangement",,"Company / Archive / Museum / Etc","ruth weiss foundation?",,"5-10 min",
"8/21/2020 8:21:34","email","Donation","steve seid would like to ask ingeborg geddes' family if they would donate her materials related to LUMINOUS PROCURESS",,,,"Company / Archive / Museum / Etc",,,"less than 5 min",
"8/25/2020 13:45:23","email","Reference research","wants to know about copyright for relicensing screenplays",,"gave basic information and forwarded to scholarly communications office",,"UCB student",,,"5-10 min",
"9/1/2020 12:39:00","email","Streaming request","wants to stream Adrian Piper's FUNK LESSONS for R&C class",,"work has been digitized, forwarded to Jon",2,"UCB Faculty",,,"5-10 min",
"9/1/2020 12:42:20","email","Streaming request","Wanted to stream KUVSHIN (1970) georgian film",,"our copy is labeled ""not for research use""; referred him to Russian language version on youtube",,"Out-of-area visitors",,,"5-10 min",
"9/8/2020 11:21:44","email","Streaming request","wants a preview copy of BLACK PANTHER california newsreel film",,"referred him to Jon, Jason referred him directly to CA Newsreel",,"Filmmaker/Artist",,,"5-10 min",
"9/14/2020 10:23:53","email","Streaming request","theresa cha; white dust from mongolia",,"let her know we can't provide remote access to cha videos ",,"Non-UCB academic","northwestern university",,"5-10 min",
"9/14/2020 10:26:58","email","Reference research","Jack Scott/ Institute for the Study of Sports and Society; Take me out of the ball game (1620-01-9242)",,"let him know the film is not digitized; didn't find anything else; referred him to Bancroft",,"Filmmaker/Artist",,,"10-30 min",
"9/24/2020 9:25:23","email","Archival papers","arledge papers; series 2 writings",,"told him the collection will be digitized in a few months, might be able to take snapshots once we can get into regatta",,"Non-UCB academic","university of madrid",,"5-10 min",
"9/30/2020 18:28:27","email","Reference research","Japanese cinematographer Hiroshi Murai - films we have, info on, etc","Yes","noted films in collection, other resources",,"BAMPFA member",,,"over 30 min","9/24/2020"
"9/30/2020 18:29:10","email","Reference research","Tora-san film series - films we have, info on, locales","Yes","noted films in collection, other resources",,"BAMPFA member",,14,"over 30 min","9/21/2020"
"9/30/2020 18:29:57","email","Reference research","Japanese DP Setsuo Kobayashi - films in collection, info on, etc","Yes","noted films in collection, other resources",,"BAMPFA member",,16,"over 30 min","9/28/2020"
"9/30/2020 18:31:22","email","Reference research","Nemuri Kyoshiro samurai film series in collection- info on, possible screening, rights","Yes",,,"Company / Archive / Museum / Etc","Hawaii FF",8,"over 30 min","9/29/2020"
"9/30/2020 18:32:54","email","Reference research","Yugoslavian film travelogues in collection - info, possible screening, etc","Yes",,,"Company / Archive / Museum / Etc","Film festival in Llujbiana, Slovenia",11,"over 30 min","9/17/2020"
"9/30/2020 18:33:53","email","Archival papers","Alan Francovich files/collection",,,,"Filmmaker/Artist","researcher from NYC that KG knows",,"over 30 min","9/15/2020"
"9/30/2020 18:35:00","email","Reference research","artist looking at potentially looking at archive for future project","Yes",,,"Filmmaker/Artist","Independent artist in SF, friend of BAM Matrix curator",,"over 30 min","9/23/2020"
"9/30/2020 18:36:45","email","Reference research","Tadashi Imai (Japanese film director) films in collection, curious about","Yes","titles noted, condition info provided",,"BAMPFA member",,6,"over 30 min","9/24/2020"
"9/30/2020 18:38:07","email","Reference research","Streaming copy of THRILL KILLERS (film in collection) available to view?","Yes","title found, link/upload provided",,"BAMPFA staff",,,"over 30 min","9/28/2020"
"9/30/2020 18:40:26","email","Reference research","Latinx films/material in collection to showcase for Latinx Heritage Month","Yes","titles provided, materials discovered, etc",,"BAMPFA staff",,12,"over 30 min","9/23/2020"
"9/30/2020 18:44:44","email","Reference research","Curious about possible Agnes Varda retros in future?","Yes","Series confirmed; potential dates provided",,"Local Resident",,,"over 30 min","9/10/2020"
"10/1/2020 16:08:41","email","Reference research","Tora-san films in collection - follow-up query","Yes",,,"BAMPFA member",,,"over 30 min","9/30/2020"
"10/1/2020 16:09:26","email","Reference research","artist interested in photographing film vault or in photos there-of",,,,"Filmmaker/Artist",,,"over 30 min",
"10/6/2020 13:53:18","email","Stills","still from luminous procuress",,"let her know we have the image but not copyright, included jon and antonella",,"Writer/Independent Scholar",,,"5-10 min","10/5/2020"
"10/6/2020 13:54:19","email","Stills","luminous procuress still",,"asked if she wanted the original and any others; will send indemnification form",,"Writer/Independent Scholar",,2,"over 30 min",
"10/8/2020 16:34:32","email","Streaming request","where is jim crow: lena horne; asking for screener for a filmmaker who may want to license it?",,"forwarded to jon",,"Filmmaker/Artist",,,"5-10 min",
"10/9/2020 10:53:06","email","Archival papers","lowell darling collection; wants scans of 2 folders",,"let him know it would be next week or later before any scans are possible ",,"Non-UCB academic","tufts university",,"5-10 min",
"10/12/2020 17:24:19","email","Duplication","sara kathryn arledge papers; wants snapshots of several pages",,"told him i could take snapshots, would have to confirm payment method",,"Non-UCB academic","university of madrid",,"over 30 min","10/1/2020"
"10/12/2020 17:25:11","email","Duplication","arledge papers",,"sent him snapshots of requested papers; international payment was too complicated",,"Non-UCB academic","university of madrid",,"over 30 min",
"10/13/2020 9:11:38","email","Books/periodicals","article ""cinema of the oppressed: an interview with francisco newman""",,"jason will give them a PDF",,"Local Resident","Haas family",,"5-10 min",
"10/13/2020 10:56:13","email","Donation","lynne sachs",,"lynne sachs communicating about donating her papers and films",,"Filmmaker/Artist",,,"5-10 min","7/23/2020"
"10/13/2020 10:57:24","email","Donation","lynne sachs papers",,"confirming shipping address and progress on preparing papers for donation",,"Filmmaker/Artist","lynne sachs",,"5-10 min","9/30/2020"
"10/13/2020 10:58:33","email","Donation","lynne sachs papers",,"confirming upcoming shipment",,"Filmmaker/Artist",,,"5-10 min",
"10/13/2020 10:59:41","email","Training","scanning training",,,,"BAMPFA staff",,,"10-30 min","10/6/2020"
"10/13/2020 11:00:30","email","Training","piction training",,,,"BAMPFA staff",,,"over 30 min","10/9/2020"
"10/15/2020 12:10:43","email","other","wants to license BLACK PANTHER by california newsreel",,"forwarded them to ca newsreel",,"Filmmaker/Artist","easy company/memento films",,"5-10 min",
"10/15/2020 21:12:53","email","Donation","lynne sachs confirming her donation of papers and videos",,"Okie dokie",,"Filmmaker/Artist",,,"5-10 min",
"10/15/2020 21:14:12","email","Donation","donation of ingeborg geddes photos",,"steve let me know the estate executor wants to donate her LUMINOUS PROCURESS photos to pfa",,"Filmmaker/Artist","ingeborg geddes estate",,"5-10 min",
"10/20/2020 8:30:09","email","Reference research","shirley clarke film  A Lover's Quarrel",,"jason pointed him to SF public library",,"Filmmaker/Artist",,,"10-30 min",
"10/21/2020 16:22:42","email","Audio Recording","october 1986 appearance of Elim Klimov with COME AND SEE",,"he was the interpreter for the screening and wants to show it to his class; Jason gave him the archive.org link",,"Non-UCB academic","trinity college dublin",,"5-10 min",
"10/23/2020 11:44:32","email","Archival papers","lowell darling",,"sent indemnification form, will send scans",,"Non-UCB academic","tufts university",,"5-10 min",
"10/23/2020 12:46:55","email","Donation","ingeborg gerdes photos",,"confirming inventory of proposed photos related to luminous procuress",,"Filmmaker/Artist","ingeborg gerdes estate",,"10-30 min",
"10/26/2020 16:53:41","email","other","wants to use theresa cha images in publication: Other Things Seen, Other Things Heard",,"forwarded to Tracy for rights clearance",,"Writer/Independent Scholar",,,"5-10 min",
"10/28/2020 11:38:37","email","Archival papers","wants to preview sara kathryn arledge films and maybe see some of the papers",,"asked jon to forward the finding aid to them and offered to take snapshots; also asked to let them know the papers are up for CAVPP digitization",,"Company / Archive / Museum / Etc","centre pompidou",,"5-10 min",
"10/28/2020 12:06:30","email","Audio Recording","nan goldin MATRIX 89 ballad of sexual dependency",,"sent her archive.org recording and matrix pdf",,"Filmmaker/Artist","archive researcher for nan goldin documentary",,"over 30 min",
"10/28/2020 15:59:00","email","Reference research","wants to see victor erice film ""Dream of Light"" also called ""The Quince Tree Sun""",,"asked jason for input; looked in oskicat, not in the collection",,"Local Resident","david wilson's friend",,"5-10 min",
"11/3/2020 15:37:44","email","Reference research","wants to see deleted scenes from THE SEVENTH VICTIM",,"forwarded to jason",,"Local Resident",,,"5-10 min",
"11/3/2020 15:43:26","email","Streaming request","wants to view theresa cha video passages paysages",,"forwarded to stephanie cannizzo",,"Non-UCB student","williams college",,"5-10 min",
"11/10/2020 10:49:38","email","Duplication","wants to use theresa cha image for her wikipedia page",,"referred to tracy",,"Local Resident",,,"5-10 min",
"11/10/2020 13:32:57","email","Audio Recording","wants  to use theater recording of larissa shepitko recording from 1978 for criterion release of THE ASCENT",,"told him i'd check with regents credit",,"Company / Archive / Museum / Etc","criterion",,"5-10 min",
"11/10/2020 16:50:28","email","other","claire wants to interview jason and myself about our experiences providing access to the cha collection videos",,"will schedule a meeting",,"BAMPFA staff",,,"less than 5 min",
